sno,uni_fk,aqi,co,no2,so2,nh3,latitude,longitude,currency,geohash,drive_in,speed_in,timezone,what3words,city,state,address
850,6223,0,NULL,NULL,NULL,NULL,38.2531,140.874,JPY,xnu1tev06jtv4025z9th,left,km/h,JST,wake.visions.wanted,Sendai,"Miyagi Prefecture","Tohoku University, 鍛冶屋前丁, Aoba Ward, Sendai, Miyagi Prefecture 980-8577, Japan"
851,6224,0,NULL,NULL,NULL,NULL,37.5901,127.036,KRW,wydmfg0fqy0jcn16jvqj,right,km/h,KST,verges.flatten.manager,Seoul,,"Korea Univ., Anam-ro, Jongam-dong, Seoul, 02800, South Korea"
852,6225,0,NULL,NULL,NULL,NULL,-36.8661,174.774,NZD,rckq30dr7jsym38et56x,left,km/h,NZDT,unwanted.horns.zest,Auckland,Auckland,"University of Auckland, Dockside Lane, Mechanics Bay, Auckland 1053, New Zealand"
853,6226,0,NULL,NULL,NULL,NULL,55.7055,37.5361,RUB,ucfsyhuum96t4t2wfmbk,right,km/h,MSK,free.press.darkest,Moscow,Moscow,"Mikhail Vasilyevich Lomonosov, Университетская площадь, Ramenki District, Moscow, Russia, 119991"
854,6227,0,NULL,NULL,NULL,NULL,29.7168,-95.4048,USD,9vk1j1b2g7rjfgd32pzs,right,mph,CST,vibrate.friday.oddly,Houston,Texas,"Rice University, 6100 Main Street, Houston, TX 77005, United States of America"
855,6228,0,NULL,NULL,NULL,NULL,-31.9504,115.798,AUD,qd665p97qsvtseq01ncv,left,km/h,AWST,bunch.perky.little,Perth,"Western Australia","University of Western Australia, 35 Stirling Highway, Crawley WA 6009, Australia"
856,6230,0,NULL,NULL,NULL,NULL,35,105,CNY,wq4xj7d9v2fsmq4xj7d9,right,km/h,CST,enthusiast.drizzled.determiner,,,China
857,6231,0,NULL,NULL,NULL,NULL,35.905,-79.0478,USD,dnru30r1vzend75790d6,right,mph,EST,begun.escapism.hydrant,,"North Carolina","University of North Carolina, Botanical Way, Chapel Hill, NC 27599, United States of America"
858,6232,0,NULL,NULL,NULL,NULL,22.3045,114.18,HKD,wecnyhrj59wjxp8dsfsw,left,km/h,HKT,shrubbery.event.playroom,Kowloon,"Hong Kong","The Hong Kong Polytechnic University, 11 Yuk Choi Road, Tsim Sha Tsui, 000000 Hong Kong, China"
859,6233,0,NULL,NULL,NULL,NULL,55.7127,13.2108,SEK,u3ckuw5v8yz8gbzw99eu,right,km/h,CET,forgets.interval.movies,,,"Faculty of Engineering at Lund University, Ideontorget Box 118, 221 00 Lund, Sweden"
860,6234,0,NULL,NULL,NULL,NULL,40.8111,-77.8771,USD,dr285v7tsrmb4cszkkkz,right,mph,EST,voltages.frugal.scrum,,Pennsylvania,"Air Quality Learning and Demonstration Center, Air Quality Lane, Ferguson Township, PA 16803-3073, United States of America"
861,6235,0,NULL,NULL,NULL,NULL,53.8067,-1.55604,GBP,gcwfhe4ytsypfvqzpq7e,left,mph,GMT,family.dish.emerge,Leeds,England,"University of Leeds, Red Route, Leeds, LS2 9JT, United Kingdom"
862,6236,0,NULL,NULL,NULL,NULL,37.3003,126.971,KRW,wydk1q39fvhk0hsw18ht,right,km/h,KST,chops.required.bravo,Suwon-si,Gyeonggi,"Sungkyunkwan Univ., Seobu-ro, Jangan-gu, Suwon-si, Gyeonggi 16360, South Korea"
863,6237,0,NULL,NULL,NULL,NULL,52.9387,-1.2003,GBP,gcrjhtjyx0ftmjnnfhur,left,mph,GMT,curve.spent.sting,Nottingham,England,"University of Nottingham, University Boulevard, Nottingham, NG7 2RD, United Kingdom"
864,6238,0,NULL,NULL,NULL,NULL,1.42989,103.612,MYR,w238ju21er7qnf6wnzut,left,km/h,+08,scooters.thesis.quadrupled,"Iskandar Puteri",Johor,"University of Southampton, 3 Persiaran Canselor 1, EduCity Iskandar Malaysia, 79200 Iskandar Puteri, Johor, Malaysia"
865,6239,0,NULL,NULL,NULL,NULL,42.3503,-71.1012,USD,drt2yj9smr66dxr1nnsv,right,mph,EST,flank.matter.vivid,Boston,Massachusetts,"Boston University, Essex Street, Boston, MA 02215, United States of America"
866,6240,0,NULL,NULL,NULL,NULL,59.3478,18.0735,SEK,u6sce7bwpj67ezvjyqvf,right,km/h,CET,spots.loops.kingpin,,Stockholm,"Kungliga Tekniska Högskolan, Stockholm Municipality, Sweden"
867,6241,0,NULL,NULL,NULL,NULL,56.3398,-2.81179,GBP,gfn0802e0rweuz70efx4,left,mph,GMT,atom.soil.shortens,,Scotland,"University of St Andrews, North Street, St Andrews, KY16 9AJ, United Kingdom"
868,6242,0,NULL,NULL,NULL,NULL,40.0057,-83.0287,USD,dphgwdu65usqh95bv8su,right,mph,EST,bowls.proof.frosted,Columbus,Ohio,"The Ohio State University, 281 West Lane Avenue, Columbus, OH 43210, United States of America"
869,6243,0,NULL,NULL,NULL,NULL,51.4487,5.4904,EUR,u15usvvypt6skx1n3jt4,right,km/h,CET,says.archive.revisit,Eindhoven,"North Brabant","Eindhoven University of Technology, De Rondom 2, 5600 MB Eindhoven, Netherlands"
870,6245,0,NULL,NULL,NULL,NULL,38.5449,-121.741,USD,9qc7m8zk2k0bk2y8d39m,right,mph,PST,taking.vote.alien,,California,"Davis, California, United States of America"
871,6246,0,NULL,NULL,NULL,NULL,37.3882,126.662,KRW,wydhdq23uh8xkx49xvnh,right,km/h,KST,promises.trying.grant,Incheon,,"Campus Town, 지하66 Songdogukje-daero, Songdo 1(il)-dong, Incheon, 21990, South Korea"
872,6247,0,NULL,NULL,NULL,NULL,-34.9189,138.604,AUD,r1f9650w8c19hfsz7krv,left,km/h,ACDT,waters.hung.radar,Adelaide,"South Australia","University of Adelaide, North Terrace, Adelaide SA 5005, Australia"
873,6248,0,NULL,NULL,NULL,NULL,60.171,24.9492,EUR,ud9wr9z3tqww6xgpf8q3,right,km/h,EET,solving.mobile.escapes,Helsinki,,"University of Helsinki, Kirkkokatu, 00170 Helsinki, Finland"
874,6249,0,NULL,NULL,NULL,NULL,53.3331,-6.24889,EUR,gc7x3ucxw6czhspzbx5h,left,km/h,GMT,swaps.string.bland,,Leinster,"Dublin, Ireland"
875,6250,0,NULL,NULL,NULL,NULL,38.6472,-90.3084,USD,9yzgbgx2mxxp2h8vnq6p,right,mph,CST,ladder.roofs.faster,,Missouri,"Washington University in St. Louis, Ackert Walkway Avenue, University City, MO 63130, United States of America"
876,6251,0,NULL,NULL,NULL,NULL,46.1935,6.15151,CHF,u0hqgcr2u8dcj41nxb0e,right,km/h,CET,rates.else.texted,Geneva,Geneva,"Bioscope, Rue Michel Servet, 1206 Geneva, Switzerland"
877,6252,0,NULL,NULL,NULL,NULL,40.4301,-86.9265,USD,dp4njbn437w115wfb4zn,right,mph,EST,birds.pills.pets,,Indiana,"Purdue University, 610, West Lafayette, IN 47907, United States of America"
878,6253,0,NULL,NULL,NULL,NULL,55.7854,12.5202,DKK,u3bvkgkvw4vp1zv5n7r0,right,km/h,CET,hiding.rejoin.rang,,Denmark,"Technical University of Denmark, Centrifugevej, 2800 Kongens Lyngby, Denmark"
879,6254,0,NULL,NULL,NULL,NULL,53.5268,-113.524,CAD,c3x288mbrd6ne39rkckt,right,km/h,MST,outlined.salt.tips,Edmonton,Alberta,"University of Alberta, 111 Street NW, Edmonton, AB T6G 1H7, Canada"
880,6255,0,NULL,NULL,NULL,NULL,53.2197,6.56251,EUR,u1kwv26ejejdwsz0spdc,right,km/h,CET,famous.nipped.pushy,Groningen,Groningen,"Academy Building, Professorgang, 9712 EA Groningen, Netherlands"
881,6256,0,NULL,NULL,NULL,NULL,35.1533,136.968,JPY,xn1ruz2yueew1jnpdpu8,left,km/h,JST,foil.rebirth.familiar,Nagoya,"Aichi Prefecture","University Nagoya, Nagoya Expressway, Chikusa Ward, Nagoya, Aichi Prefecture 464-8601, Japan"
882,6257,0,NULL,NULL,NULL,NULL,20.2125,-105.368,MXN,9et4fr9dr716zpe667pf,right,km/h,CST,abundance.trailed.assorted,,Jalisco,"Paulo, Cabo Corrientes, Mexico"
883,6258,0,NULL,NULL,NULL,NULL,59.8618,17.6377,SEK,u6ss93e25t8q4gx4sq8k,right,km/h,CET,wash.secrets.merchant,Uppsala,,"Housing office Uppsala University, Kungsgatan, 753 20 Uppsala, Sweden"
884,6259,0,NULL,NULL,NULL,NULL,52.1686,4.45966,EUR,u170v3p2mdjy96y9ppc8,right,km/h,CET,crawler.slacker.timing,Leiden,"South Holland","Leiden University, Tatjana Afanasjevaweg, 2333 CE Leiden, Netherlands"
885,6260,0,NULL,NULL,NULL,NULL,59.9414,10.7237,NOK,u4xth008pfwq0wr6650q,right,km/h,CET,piper.maximum.guardian,Oslo,,"University of Oslo, Bogstadveien, 0357 Oslo, Norway"
886,6261,0,NULL,NULL,NULL,NULL,52.5244,13.4105,EUR,u33dc1v0xupzmu5h2bew,right,km/h,CET,lentil.unusually.textiles,,Berlin,"Berlin, Germany"
887,6262,0,NULL,NULL,NULL,NULL,32.0566,118.774,CNY,wtsqqg8xhye3fu15eyhf,right,km/h,CST,neck.apart.pizzeria,"Gulou District",Jiangsu,"Nanjing University, Gangzhou Road, 210093 Jiangsu, China"
